Jahr;BFS_Gemeindenummer;Gemeinde;Zimmerzahl;ANZAHL
2022;2787;Laufen;2;14
2022;2787;Laufen;3;27
2022;2787;Laufen;4;49
2022;2787;Laufen;5;25
2022;2787;Laufen;6;2
2022;2792;Wahlen;2;6
2022;2792;Wahlen;3;4
2022;2792;Wahlen;4;5
2022;2792;Wahlen;5;3
2022;2793;Zwingen;1;1
2022;2793;Zwingen;2;16
2022;2793;Zwingen;3;7
2022;2793;Zwingen;4;2
2022;2824;Frenkendorf;2;4
2022;2824;Frenkendorf;3;24
2022;2824;Frenkendorf;4;34
2022;2824;Frenkendorf;5;11
2022;2825;Füllinsdorf;3;6
2022;2825;Füllinsdorf;4;3
2022;2828;Lausen;1;8
2022;2828;Lausen;2;22
2022;2828;Lausen;3;18
2022;2828;Lausen;4;20
2022;2828;Lausen;5;2
2022;2829;Liestal;1;2
2022;2829;Liestal;2;4
2022;2829;Liestal;3;13
2022;2829;Liestal;4;64
2022;2829;Liestal;5;4
2022;2831;Pratteln;1;27
2022;2831;Pratteln;2;74
2022;2831;Pratteln;3;185
2022;2831;Pratteln;4;119
2022;2831;Pratteln;5;5
2022;2831;Pratteln;6;1
2022;2842;Böckten;2;6
2022;2842;Böckten;3;9
2022;2842;Böckten;4;9
2022;2844;Buus;2;3
2022;2844;Buus;3;6
2022;2846;Gelterkinden;2;4
2022;2846;Gelterkinden;3;5
2022;2846;Gelterkinden;4;12
2022;2846;Gelterkinden;5;5
2022;2849;Itingen;2;5
2022;2849;Itingen;3;7
2022;2853;Maisprach;2;1
2022;2853;Maisprach;3;3
2022;2853;Maisprach;4;2
2022;2856;Ormalingen;2;6
2022;2856;Ormalingen;3;16
2022;2856;Ormalingen;4;12
2022;2856;Ormalingen;5;4
2022;2857;Rickenbach (BL);1;1
2022;2857;Rickenbach (BL);2;5
2022;2857;Rickenbach (BL);3;4
2022;2861;Sissach;1;6
2022;2861;Sissach;2;19
2022;2861;Sissach;3;5
2022;2861;Sissach;4;6
2022;2861;Sissach;5;6
2022;2862;Tecknau;4;9
2022;2862;Tecknau;5;3
2022;2882;Bennwil;3;3
2022;2882;Bennwil;4;6
2022;2886;Hölstein;2;1
2022;2886;Hölstein;3;6
2022;2886;Hölstein;4;50
2022;2886;Hölstein;5;7
2022;2888;Langenbruck;2;2
2022;2888;Langenbruck;3;6
2022;2888;Langenbruck;4;8
2022;2891;Niederdorf;1;3
2022;2891;Niederdorf;2;4
2022;2891;Niederdorf;3;22
2022;2891;Niederdorf;4;28
